Model Version,Model Algorithm,Deployment Date,Deployment Time,rows,log_loss,accuracy,threshold,status
v1,LogisticRegression,2026-02-15,12:11:34.802652,3000,0.1338,96.27,0.55,success
v1,LogisticRegression,2026-02-15,12:12:02.057188,3000,0.1338,96.27,0.55,success
v1,LogisticRegression,2026-02-15,12:12:08.132037,1000,0.1506,94.9,0.55,success
v1,LogisticRegression,2026-02-15,12:12:18.443880,1000,2.089,20.7,0.55,success
v1,LogisticRegression,2026-02-15,12:12:28.691108,1000,1.5667,32.9,0.55,success
v1,LogisticRegression,2026-02-15,12:12:38.955613,1000,1.2393,43.1,0.55,success
v2,LogisticRegression,2026-02-15,12:13:47.863022,3000,0.1691,96.53,0.55,success
v2,LogisticRegression,2026-02-15,12:14:15.884564,1000,0.8312,60.6,0.55,success
v2,LogisticRegression,2026-02-15,12:14:26.206334,1000,1.7486,24.2,0.55,success
v2,LogisticRegression,2026-02-15,12:14:36.499211,1000,0.7426,63.2,0.55,success
v2,LogisticRegression,2026-02-15,12:14:46.846750,1000,1.1422,45.0,0.55,success
